11	基于Python网络爬虫设计与实现	古志敏吴明珠	广州现代信息职业技术学院	2023/9/18	电脑编程技巧与维护	期刊	Python语言; 网络爬虫; 数据解析	随着科学技术的发展，网络资源对人们的生活产生巨大的影响，为了进一步简化查找和精准定位网络资源，网路爬虫技术日渐兴起。Python的兼容性强、社区庞大，因此基于Python的网络爬虫技术逐渐成为主流。分析年轻人的娱乐喜好，采用了基于Python的网络爬虫技术，设计了热门视频信息爬虫程序，实现对视频信息的保存，为后续查看与使用视频信息提供便利。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUlEwptIS1eXrIK8Bv1mw967Lnwl_BKnZuVwET12Ox7SWN2GRvkXDdL_ce-erqlY2C8YGEr-y0JW0gRaxFMT5AbsH-yGC1sApRecPXEiSGvpHzA8QeHF4tUdSffBbQxWLMvpRfyuqwuKpQ==&uniplatform=NZKPT&language=CHS
12	在技术与法律之间:网络爬虫刑法规制的边界	"姚万勤1,2宋俊豪1"	1. 西南政法大学人工智能法律研究院2. 中国社会科学院法学研究所	2023/8/31	法治论坛	辑刊	网络爬虫; 反爬措施; 未经授权; 个人信息; 计算机信息	"我国当前对网络爬虫刑法规制的研究存在两个方面的误区:一方面,未正确理解网络爬虫的相关技术问题,认为突破反爬措施的网络爬虫行为具有“侵入性”;另一方面,未注意严格限定研究对象,有意无意地扩张了网络爬虫行为的外延,将与爬虫技术无关的其他行为一并笼统地称作网络爬虫行为。网络爬虫技术本质在于自动化,因此,由网络爬虫所引发的刑法规制问题在于——网络爬虫行为与人工数据获取行为在技术层面上所具有的差异映射到法律层面上时,会产生何种不同的法律后果。具体而言,过度使用网络爬虫可能构成破坏计算机信息系统罪。突破反爬措施的网络爬虫行为的规范意义则需结合相关犯罪的构成要件作进一步考察。即便如此,在没有严重影响他人计算机信息系统正常运行的情况下,只要人工获取数据的行为本身不违法,相应的网络爬虫行为也不具有违法性,理应不构成犯罪。"	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUmwR5_4MvusUxhxWbKUr87NOTxNSCSuj17P0tNN8dzR_AbiZf9kjiEKUw7Ze8OlxlQbRuxDCNZMlI9VKbar64c_r1RK11xjDv-vNi57Vhh3iCbl6bGOcT5D7m1Ep2kL1sw=&uniplatform=NZKPT&language=CHS
13	网络爬虫行为的著作权问题研究	土真玉	南京理工大学知识产权学院	2023/8/25	河南科技	期刊	网络爬虫; 著作权; 侵权	【目的】网络爬虫行为是目前搜索引擎中的核心技术工具。本研究对网络爬虫行为侵权表现形式及相关法律问题进行分析，为解决网络爬虫行为著作权侵权问题提供建议。【方法】基于网络爬虫技术的概念、基础原理和实际运作，进一步探讨网络爬虫行为侵犯著作权的相关规定与其表现形式，并对其中涉及的法律问题进行整合、讨论与总结。【结果】目前，网络爬虫行为著作权侵权问题主要分为直接侵权与间接侵权。虽然目前有相关规定及规制标准，但判定其是否构成侵权的标准尚未明确与规范。【结论】对该问题规制时应当就网络爬虫行为推动信息网络传播与著作权保护这两方面进行平衡规制，在立法方面应当完善相关方面的法律制度，划清著作权中“作品”范围，健全著作权人的权利保护机制。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUmwR5_4MvusUxhxWbKUr87NJ0EMrvde79qrJIsqdBDbrJTYA1iCRhxoz84r_KIvpBJyeDC2jHKsEFqq2Yg3FlsBZG4d34-rGDMNQFFdwur409oUkAEvLF80r0Vkj3yGWpkWuQsYSo78aA==&uniplatform=NZKPT&language=CHS
14	恶意网络爬虫行为的刑事规制及其完善	彭新林赵辉	北京师范大学刑事法律科学研究院	2023/7/31	刑法论丛	辑刊	网络爬虫; 计算机系统安全; 技术属性; 数据安全法益	"大数据视野下网络爬虫的实践滥用需要引起刑事法对数据系统安全保护的重视。恶意爬虫行为对数据系统安全形成刑事风险,法律对其评价也逐渐由民法领域转向刑法视野。通过明晰数据与信息的边界,进一步强调用刑事手段保护数据系统安全之必要性,坚持数据开发与保护的理性站位,采用想象竞合的立场处理同时侵犯爬取内容层面与技术层面的恶意侵入爬虫,进一步强调数据的技术属性以重视数据安全法益,从而体现刑法在技术层面对数据的运用与符号化表达之正面回应。"	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUk46zG2UoiryUnzycyw_KsJcd5eG7aBNC_dgT5TQWRM5wyd8QV9-IiHWKo1gDBc1jhQ6fYSsMutPyHC3PuRCMtSy90rtrHAVyfO8G6d45cANdEXaCOfDRQarDYokRuYJAg=&uniplatform=NZKPT&language=CHS
15	网络爬虫技术在获取及分析审计证据中的应用研究——以金正大为例	常启军李玲玲	桂林电子科技大学	2023/7/15	财会研究	期刊	大数据; 网络爬虫技术; 审计效率	随着信息技术的快速发展，各行各业已进入大数据时代。审计作为一个数据密集型行业，如何运用科学的工具对大数据进行抽丝剥茧，以高效获取审计证据已经成为近期国内的热点。文章首先阐述了在大数据的影响下审计过程中各环节的变化，在此基础上，分析了网络爬虫技术在审计证据挖掘与分析过程中的原理。最后，以金正大审计为例，分析爬虫技术是否可实现高效获取和分析审计证据。研究结果表明，爬虫技术可运用于大数据审计中，有效帮助审计人员，提高审计效率。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUk-4eXNqf36O6czKI8fePQGdTDkP4YNiIJrOUt4coL2Dc8PIasGr5ZsKFIMB93ajljocvbPPPJ2QiEmp6nLyCU2fqzTtbb6SczqyV1CXcLLUV1npFwOJl7mxVTo-CLD1ux-WN2YUHsWrA==&uniplatform=NZKPT&language=CHS
16	基于RPA技术的财务机器人业务自动化处理平台构建	聂玺	陕西青年职业学院	2023/6/25	自动化与仪器仪表	期刊	RPA技术; 网络爬虫; 财务机器人; 分类准确率; 业务自动化	如今，财务领域仍然保有大量低效的人工处理任务。因此，借助基于RPA技术的财务机器人以提高财务人员的工作效率至关重要。为了自动获取网页财务字段以及实现财务数据的智能分类以便归档，设计了依靠聚焦式网络爬虫技术的财务数据自动抓取机器人和TF-IDF算法的财务分类机器人，并最终构建了以这两种财务机器人为核心的业务自动化处理平台。经实验测试显示，自动爬虫机器人可以良好地生成XML文件，无论事先设置XML数量为何值，准确率均高于90%。TF-IDF算法在分类准确率、召回率以及F1值均获得了更好效果，对应值分别为71%、85%以及92%。因此，研究采用的两种财务机器人均能良好实现业务自动化处理操作，从而提高财务人员的工作效率。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUkb1Nx28w2BITbzFsIJwRYHPRX_cLs3YD4VfgA8GWmGXuLHbujxtuiHyy3WtthMyZGuxHd8BAcEL_9bxkwn3Bil0kgKQef3QK_GuCstDSxlv3sh0hqE_itMCmVF2Q8VC7-v5vPPvf_LSA==&uniplatform=NZKPT&language=CHS
17	网络爬虫技术侵犯公民个人信息的刑事规制	卜天石	中国政法大学	2023/6/25	网络空间安全	期刊	网络爬虫技术; 非法获取; 个人信息; 数据安全; 刑事规制	[目的/意义]网络爬虫技术的运用，既为互联网发展带来巨大经济和技术效益的，同时也在公民的个人信息安全方面埋下隐患。依据《中华人民共和国刑法》对网络爬虫技术行为中侵犯公民个人信息罪进行规制，有利于维护网络空间安全，促进良好的网络生态的形成。[方法/过程]基于合法性原则和法益保护原则，对网络爬虫行为分步骤进行法律性质的辨析。首先通过合法性原则用以识别网络爬虫行为是否违法，其次通过法益保护原则来最终认定网络爬虫行为的罪与非罪、此罪与彼罪的问题。[结果/结论]只有同时满足违背合法性原则和法益保护原则的网络爬虫行为，可以通过《刑法》第253条第3款予以规制。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUlYdGfv2ccUHwTlWuq0eUVF10EMOZ1dmnMeBgpEyTsLlS82cwIjMp7WXlD94rjLBj9uiA64PtX5OpSU61WLkg-605zbCWsAoWmXPjS1V5NEpbEFv9VMzm6ciwlYuTHfvkjEsZjNB7VZxA==&uniplatform=NZKPT&language=CHS
18	基于网络爬虫技术的企业大数据采集系统设计	张雁涔	忻州职业技术学院	2023/6/25	信息与电脑(理论版)	期刊	爬虫技术; 大数据采集; 系统设计; 企业信息	"为便于企业进行信息筛选和采集,文章采用网络爬虫技术设计企业大数据采集系统,使企业大数据采集系统更符合时代发展的需求,即要确保采集数据信息的精准性、有效性、及时性,拟在解决数据精准匹配问题的基础上,优化系统的处理和运行效率。"	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUmwsQpHbUBOums-8CcjmY70PF9-yeoPRDPXsJbsocByRVjMwdIXdSmlPOwRCOIVYG1PZEVNldrVv_lFe6R4CnRgpEbG36CFSzq_gURj0e8XXodCgBXaenLiTt9Y-9FkqN0Hx4W9WxBvrw==&uniplatform=NZKPT&language=CHS
19	基于大数据抓取的供应商不良行为数据监测方法	严峻马路遥龙铭崔北为	国网安徽省电力有限公司物资分公司	2023/6/20	微型电脑应用	期刊	大数据抓取; 供应商; 不良行为; 数据监测; 行为数据	传统供应商选择弊端较为明显，为此，提出基于大数据抓取的供应商不良行为数据监测方法。选取大数据抓取技术——网络爬虫技术获取供应商行为数据，按照时间先后顺序将供应商行为数据转换为平稳时间序列，利用拉格朗日插值算法补全行为数据的缺失，构建ARIMA模型，估计模型参数数值，确定不良行为数据辨识空间，通过拟合残差序列比较获取供应商不良行为数据辨识结果，实现不良行为数据的监测。通过实验数据可知，应用提出方法能够准确地辨识出多种类型的不良行为数据，证明提出方法具备更好的监测性能。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUmfdidrzhAw5a6E-bKD05OLvuFGAyR1ikH_lN1cR3VTSLotJcwTJtWH7jPln4eYtaxj2_HaUNiThTlrULRyAEP099BEDvxusBSNhOUSRwyyPWN87Ja0Mhe6pRCPV8M-qKSeXgS1HtHqIg==&uniplatform=NZKPT&language=CHS
20	浅谈信息技术在课程思政教学改革中的应用	杨茜	重庆财经职业学院	2023/6/20	国家通用语言文字教学与研究	期刊	信息技术; 课程思政; 教学改革	在推进教育现代化的进程中，对信息技术的充分应用是体现教育现代化的重要标志之一。在课程思政教学中融入信息技术，教师可以实现教学情境的创设、互动动漫的制作、考评体系的优化、网课设计的完善，对提升学生学习效率、提高课堂教学质量有着重要的作用。对此，通过分析信息技术在课程思政教学改革中的应用优势，在此基础上探究信息技术在课程思政教学改革中的应用策略，以期激发学生学习的主动性，促进学生学习效率和学习质量的提升。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUmfdidrzhAw5a6E-bKD05OLvuFGAyR1ikGFW4Loc9MH_PnmHBAcUPbMJC-46MC884L66Jx_9qbG4MoWcRHkG8F_ltLfS4p9bCN1_hdnmr7kz6AT5GiR4n9OesQeQVQKslXAThBYhqhf_w==&uniplatform=NZKPT&language=CHS
21	网络爬虫生成物的著作权规制	肖海周瑞平廖石昕	华东交通大学人文社会科学学院	2023/6/15	滨州学院学报	期刊	网络爬虫生成物; 著作权; 规制; 侵权责任	网络爬虫生成物作为数据时代的新生事物，其对现有著作权的适用及网络空间秩序产生了严峻挑战，亟须在反思现有网络爬虫生成物著作权规范体系不足的基础上，加强完善著作权以回应网络爬虫生成物著作权规制的现实需求。落实侵权主体法律责任、明确网络爬虫生成物的侵权责任归责原则、建立完善网络爬虫生成物监管制度与提高爬虫协议的规范效力等措施，不失为解决现存难题的重要突破口。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUknLLR3urkCRk1MbeqDEuWcLvXmEcpgYZ4HCfAujJC3CvT0L1Ip-qieYVRZQ1WuhG-59oT6T1ZdO_EGB6vQkIGVeLe3qQYSu4_94u8qZ75HdlzlXJkRO4Oh3ESRNA3IT5y-ZcTs9QmcSQ==&uniplatform=NZKPT&language=CHS
22	我国网络爬虫技术的数据合规法律风险及其完善建议——以我国网络爬虫511个案例的实证分析为出发点	严嘉欢1钱书豪2王宇婷3巩浩3	1. 华东政法大学国际金融法律学院2. 西北政法大学公安学院3. 西北政法大学民商法学院	2023/6/12 17:41	《上海法学研究》集刊2023年第6卷——2023年世界人工智能大会青年论坛论文集	中国会议	网络爬虫; 数据合规; 个人信息; 数据安全; 实证分析; 企业合规	"网络爬虫作为数据时代重要的数据分析、数据挖掘工具,获得了互联网企业的青睐,然而网络爬虫的肆意生长还暗含刑事违法的风险。最高人民检察院发布的《涉案企业合规典型案例(第三批)》其中重点提到了网络爬虫刑事合规案件,足以看出我国对于网络爬虫数据合规的重视性。通过对于我国2013—2022年的511个网络爬虫案件进行数据实证分析,发现目前我国企业使用网络爬虫技术数据合规的现存三个方面问题,即事前网络爬虫爬取行为的授权性未知、事中网络爬虫爬取数据范围的模糊性、事后网络爬虫爬取数据使用的不可控。针对上述问题提出我国企业使用网络爬虫数据合规的完善建议,包括事前强调网络爬虫爬取数据的授权前提、事中明确爬虫爬取数据范围的合法性、事后确保爬取数据使用的合规性。"	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUlNVtyKziY6Bcp6968-4kaXp5EwTbtM2RCsR-IQWQPsW-jU3mDpu1GiI5OSCLLdu4AriI0JVT0yU_vlimWrSF0KbEnbQ70J7IIPuUN9UGEXlmuYUhRua9ugu-WDfwrhiQxcwQsWLxSbRw==&uniplatform=NZKPT&language=CHS
23	基于Selenium框架的反爬虫程序设计与实现	王帅	湖南财经工业职业技术学院	2023/6/1	信息记录材料	期刊	大数据; 爬虫程序; Selenium框架; 反爬虫	大数据时代数据的重要性受到了人们的广泛重视。如何有效保护网络数据资源，精准防控网络爬虫程序对数据进行不当收集和对服务器资源造成破坏，适当的反爬虫程序的设计与实现尤为重要。反爬虫程序能够实现自动监控网络爬虫程序带来的破坏，提高人工监控数据的效率。本文实现了基于Selenium框架的反爬虫程序设计，经过实际的数据测试，融合了Selenium框架的反爬虫程序设计能够在一定程度上提高网站的反爬虫效率。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUkGuT_x9IiDDAH45cA1nmkvMOxcw0nLv-cA0NhsjN4g9g_8q59gKEK-Ds8e_PIexXGB4Boq1Ih9id8vu_G6TtP5hp2V5KPHHFn8IO3hQanRjYTSepfBH6b9ChNVNSAt_rrJAgodU7URRw==&uniplatform=NZKPT&language=CHS
24	基于Python的网络爬虫技术研究	崔欢欢	长江工程职业技术学院	2023/6/1	信息记录材料	期刊	网络爬虫; Python语言; Scrapy框架	随着网络中数据量的快速增长，网络爬虫作为搜索引擎中非常关键的一项技术，如何准确、高效地批量获取到更具价值的信息一直是其研究难点。针对此问题，本文基于Python语言的Scrapy框架展开了深入研究，在此基础上构建了通用的网络爬虫框架，并针对其关键模块的功能实现进行了详细阐述，为相关研究提供了一定的参考价值。	https://kns.cnki.net/kcms2/article/abstract?v=OHSidZhWKUlB1YbbQ8JiWpuaGK6vO_cUpu-EB8YIe5R4UYBLL285Yf-kAzv9IHzzHJTyNzN67rxQiSlJG7qRn9cVSJmrqhNPdfVF1UK1cywrn1zk1oG33iLHQOtsc4F8kLN_yOj6CXyLOsMMNb_7IA==&uniplatform=NZKPT&language=CHS
